Order Date, Region ,Product Category,Units Sold,Revenue (USD),Discount %,Customer Rating,Notes
2025-01-27, North ,Furniture,4.0,"$2,597.31",0.115,3.8,
2025-01-28, South ,Grocery,23.0,"$2,760.48",0.29,3.3,
2025-01-29, East ,Electronics,17.0,"$14,589.53",0.112,4.1,
2025-01-30, West ,Furniture,20.0,"$10,378.95",0.024,3.4,
2025-01-31, North ,Furniture,8.0,"$6,537.57",0.002,5.1,
2025-02-01, South ,Electronics,22.0,"$19,219.03",0.189,4.9,
2025-02-02, East ,Grocery,6.0,$869.43,0.228,4.0,
2025-02-03, West ,Apparel,4.0,$842.02,0.114,5.2,
2024-01-04, West ,Grocery,7.0,$780.47,0.151,4.5,
2024-01-18, South ,Apparel,6.0,"$1,362.60",0.09,2.9,
2024-02-25, West ,Furniture,5.0,"$2,933.95",0.192,3.5,
2024-07-19, North ,Apparel,20.0,"$6,027.73",0.235,4.3,
